title,course_type,regularity,class_start,class_end,intramuraled,command,url
Центр Дополнительного Математического образования г. Курган,club,Два раза в неделю,5,11,intramural,,http://cdmo45.ru
Уральский турнир юных математиков,competition,Два раза в год,6,8,intramural,command,http://www.cdoosh.ru/ural/ural.html
Турнир Ломоносова,competition,Раз в год,6,11,intramural,personal,http://turlom.olimpiada.ru
Курганская летняя математическая школа,activity,Раз в год,6,10,intramural,,http://cdmo45.ru
Ежемесячная математическая программа от Сириуса,activity,Каждый месяц,7,11,intramural,,https://sochisirius.ru/obuchenie/nauka/smena234/1117
Турнир городов ,competition,Два раза в год,8,11,intramural,personal,https://www.turgor.ru
Кировская летняя математическая школа,activity,Раз в год,7,11,intramural,,http://www.cdoosh.ru/lmsh/about.html
Всероссийская олимпиада школьников Всероссийская олимпиада по математике,competition,Четыре этапа в год,9,11,intramural,personal,
Кубок памяти А. Н. Колмогорова,competition,Раз в год,9,11,intramural,command,
отборочный заочный этап санкт-петербургской олимпиады школьников,competition,Раз в год,9,11,intramural,personal,
неизвестный этап всероссийской олимпиады школьников по биологии,competition,Раз в год,9,11,intramural,personal,
региональный этап чемпионата junior skills. компетенция "технологическое предпренимательство",competition,Раз в год,9,11,intramural,personal,
олимпиада нти заключительный этап. новые материалы и сенсоры. командный зачёт,competition,Раз в год,9,11,intramural,personal,
